epoch,accuracy,loss,val_accuracy,val_loss
1,0.5714285969734192,0.6750270128250122,0.5,0.6746419668197632
2,0.5714285969734192,0.6668930053710938,0.5,0.670750617980957
3,0.5571428537368774,0.6642739176750183,0.5,0.6670158505439758
4,0.5,0.6593764424324036,0.5,0.6634222269058228
5,0.5142857432365417,0.6539857387542725,0.5,0.6597700119018555
6,0.5142857432365417,0.6520351767539978,0.5,0.655934751033783
7,0.5142857432365417,0.6474186182022095,0.5,0.6522082090377808
8,0.5285714268684387,0.6443465352058411,0.5,0.648762583732605
9,0.5571428537368774,0.642281711101532,0.5,0.6449543833732605
10,0.5142857432365417,0.6397479772567749,0.5,0.6403836607933044
11,0.5428571701049805,0.6352575421333313,0.5,0.6354274749755859
12,0.5,0.6280794739723206,0.5,0.6302973628044128
13,0.5714285969734192,0.6177492141723633,0.5666666626930237,0.6251867413520813
14,0.6571428775787354,0.6142257452011108,0.6000000238418579,0.6202920079231262
15,0.6571428775787354,0.6022742986679077,0.6333333253860474,0.6157655715942383
16,0.699999988079071,0.6070940494537354,0.6333333253860474,0.6111369729042053
17,0.6857143044471741,0.5915337800979614,0.6333333253860474,0.6066811680793762
18,0.699999988079071,0.5917394757270813,0.6333333253860474,0.6024394631385803
19,0.7571428418159485,0.5886329412460327,0.6333333253860474,0.5981429815292358
20,0.699999988079071,0.5786205530166626,0.6333333253860474,0.5940244793891907
21,0.800000011920929,0.5714516043663025,0.6333333253860474,0.5893668532371521
22,0.7142857313156128,0.5739645957946777,0.6333333253860474,0.5840328335762024
23,0.699999988079071,0.5666978359222412,0.6333333253860474,0.5786853432655334
24,0.7571428418159485,0.5599139332771301,0.6333333253860474,0.573530375957489
25,0.7285714149475098,0.5579819083213806,0.699999988079071,0.5688799023628235
26,0.7571428418159485,0.5517998933792114,0.699999988079071,0.5649324059486389
27,0.800000011920929,0.5361687541007996,0.699999988079071,0.5611745119094849
28,0.7857142686843872,0.5459029078483582,0.699999988079071,0.5574952960014343
29,0.7571428418159485,0.5429307222366333,0.699999988079071,0.5538608431816101
30,0.7428571581840515,0.5381587743759155,0.699999988079071,0.5506820678710938
31,0.7714285850524902,0.5146327614784241,0.699999988079071,0.5468232035636902
32,0.7571428418159485,0.538302481174469,0.699999988079071,0.5424458980560303
33,0.7857142686843872,0.5053591132164001,0.6666666865348816,0.5383440256118774
34,0.7571428418159485,0.514366626739502,0.6666666865348816,0.534822404384613
35,0.800000011920929,0.49422118067741394,0.699999988079071,0.5314747095108032
36,0.7714285850524902,0.49803057312965393,0.699999988079071,0.5280925035476685
37,0.7571428418159485,0.49796000123023987,0.699999988079071,0.5250048041343689
38,0.8285714387893677,0.47610703110694885,0.699999988079071,0.5219247341156006
39,0.7857142686843872,0.4930616617202759,0.6666666865348816,0.5191369652748108
40,0.7571428418159485,0.48869410157203674,0.6666666865348816,0.5163764953613281
41,0.7571428418159485,0.48496443033218384,0.699999988079071,0.5136734247207642
42,0.800000011920929,0.4682178497314453,0.699999988079071,0.5116437077522278
43,0.800000011920929,0.485297292470932,0.699999988079071,0.5098810791969299
44,0.7428571581840515,0.498840868473053,0.699999988079071,0.5080021619796753
45,0.8285714387893677,0.463981032371521,0.699999988079071,0.506252110004425
46,0.7714285850524902,0.4916941523551941,0.699999988079071,0.5043492317199707
