timestamp,trial,learning_rate,hidden_units,dropout_rate,num_layers,val_loss,best_val_loss
2025-09-14T12:16:45,1,0.07985775569916308,18,0.41187640010910787,6,0.5168484449386597,0.5168484449386597
2025-09-14T12:16:48,2,0.04513744253250554,13,0.28369955678634695,4,0.5763170123100281,0.5168484449386597
2025-09-14T12:16:52,3,0.01514381497427214,44,0.12256463161084011,7,0.49527502059936523,0.49527502059936523
2025-09-14T12:16:55,4,0.0939167181925593,8,0.4968846237164871,6,0.7014413475990295,0.49527502059936523
2025-09-14T12:16:58,5,0.06155366288833982,8,0.10922497001656631,5,0.46793124079704285,0.46793124079704285
2025-09-14T12:17:01,6,0.040586236199810305,10,0.4895022075365838,3,0.4453563988208771,0.4453563988208771
2025-09-14T12:17:05,7,0.021293149984409312,11,0.4883128812516292,2,0.4888198971748352,0.4453563988208771
2025-09-14T12:17:07,8,0.07511866358172944,13,0.4914383413886715,3,0.48784857988357544,0.4453563988208771
2025-09-14T12:17:11,9,0.06155751594928357,59,0.13511613235764303,5,0.4486936032772064,0.4453563988208771
2025-09-14T12:17:14,10,0.08938864584374939,52,0.13128015585451241,3,0.45759376883506775,0.4453563988208771
2025-09-14T12:17:17,11,0.0481598903373724,33,0.4337619912584879,1,0.5355291962623596,0.4453563988208771
2025-09-14T12:17:20,12,0.006666615435337036,40,0.1416827825902904,4,0.5160571336746216,0.4453563988208771
2025-09-14T16:40:40,1,0.07985775569916308,18,0.41187640010910787,6,0.5168484449386597,0.5168484449386597
2025-09-14T16:40:43,2,0.04513744253250554,13,0.28369955678634695,4,0.5763170123100281,0.5168484449386597
2025-09-14T16:40:47,3,0.01514381497427214,44,0.12256463161084011,7,0.49527502059936523,0.49527502059936523
2025-09-14T16:40:50,4,0.0939167181925593,8,0.4968846237164871,6,0.7014413475990295,0.49527502059936523
2025-09-14T16:40:53,5,0.06155366288833982,8,0.10922497001656631,5,0.46793124079704285,0.46793124079704285
2025-09-14T16:40:57,6,0.040586236199810305,10,0.4895022075365838,3,0.4453563988208771,0.4453563988208771
2025-09-14T16:41:00,7,0.021293149984409312,11,0.4883128812516292,2,0.4888198971748352,0.4453563988208771
2025-09-14T16:41:03,8,0.07511866358172944,13,0.4914383413886715,3,0.48784857988357544,0.4453563988208771
2025-09-14T16:41:07,9,0.06155751594928357,59,0.13511613235764303,5,0.4486936032772064,0.4453563988208771
2025-09-14T16:41:10,10,0.08938864584374939,52,0.13128015585451241,3,0.45759376883506775,0.4453563988208771
2025-09-14T16:41:12,11,0.0481598903373724,33,0.4337619912584879,1,0.5355291962623596,0.4453563988208771
2025-09-14T16:41:15,12,0.006666615435337036,40,0.1416827825902904,4,0.5160571336746216,0.4453563988208771
