scale_set,constant_value
quantum,6.283185307179586
quantum,3.141592653589793
quantum,5.0832036923152595
quantum,2.00231930436256
quantum,0.022925309222316594
quantum,4.442882938158366
quantum_strict,6.283185307179586
quantum_strict,3.141592653589793
quantum_strict,2.00231930436256
quantum_strict,0.04585061844463319
quantum_strict,2.177586090303602
quantum_strict,2.221441469079183
qinfo,6.283185307179586
qinfo,2.221441469079183
qinfo,1.813799364234218
qinfo,0.6931471805599453
qinfo,1.4426950408889634
qinfo,0.022925309222316594
math,3.141592653589793
math,1.5707963267948966
math,6.283185307179586
math,2.718281828459045
math,4.442882938158366
math,5.0832036923152595
